"address","city","zipcode","latitude","longitude"
"42189 E Ann Arbor Rd","Plymouth",48170,42.366835,-83.457507
"271 S Main St","Plymouth",48170,42.371068,-83.468513
"705 S Main St","Plymouth",48170,42.366259,-83.469771
"1365 South Main St.","Plymouth",48170,42.36012,-83.469442
"1307 S Main St","Plymouth",48170,42.360696,-83.469467
"1308 S Main St","Plymouth",48170,42.360663,-83.469766
"575 S Main St","Plymouth",48170,42.367913,-83.469532
"196 South Industrial Dr","Saline",48176,42.175175,-83.758439
"9600 N. Rushton Rd.","South Lyon",48178,42.464591,-83.699458
"20600 Eureka Rd","Taylor",48180,42.198068,-83.235946
"20600 Eureka Rd","Taylor",48180,42.198068,-83.235946
"26650 Eureka Rd","Taylor",48180,42.196861,-83.297374
"26650 Eureka Rd Ste B","Taylor",48180,42.196861,-83.297374
"20352 Eureka Rd","Taylor",48180,42.198724,-83.230641
"26650 Eureka Rd","Taylor",48180,42.196861,-83.297374
"8675 Lewis Ave","Temperance",48182,41.773672,-83.568471
"34841 Veterans Plz","Wayne",48184,42.280723,-83.381822
"8623 N Wayne Rd","Westland",48185,42.351319,-83.38609
"8623 N Wayne Rd Stes 104, 220, 310","Westland",48185,42.351319,-83.38609
"8623 N Wayne Rd Ste 210","Westland",48185,42.351319,-83.38609
"8315 N Wayne Rd","Westland",48185,42.349351,-83.385806
"35180 Nankin Blvd","Westland",48185,42.345625,-83.38744
"8630 N Middlebelt Rd","Westland",48185,42.353542,-83.331313
"8623 N Wayne Rd","Westland",48185,42.351319,-83.38609
"28303 Joy Rd","Westland",48185,42.354858,-83.320713
"34290 Ford Rd","Westland",48185,42.324795,-83.377409
"8623 N Wayne Rd","Westland",48185,42.351319,-83.38609
"36300 Warren Rd","Westland",48185,42.338564,-83.400238
"30555 Michigan Ave.","Westland",48186,42.286183,-83.340823
"1547 S Wayne Rd","Westland",48186,42.297613,-83.388073
"32715 Dorsey St","Westland",48186,42.292284,-83.362259
"50430 School House Rd","Canton",48187,42.307184,-83.536382
"7752 N Canton Center Rd Ste 120","Canton",48187,42.342057,-83.488213
"43825 Michigan Ave","Canton",48188,42.275824,-83.471416
"1848 Biddle Ave","Wyandotte",48192,42.215395,-83.150247
"1167 Maple St","Wyandotte",48192,42.201667,-83.166656
"13305 Reeck Rd","Southgate",48195,42.210409,-83.218135
"14799 Dix-Toledo Rd","Southgate",48195,42.202215,-83.207116
"13099 Allen Rd","Southgate",48195,42.212157,-83.2285
"19291 Northline Rd","Southgate",48195,42.212967,-83.227078
"13101 Allen Rd","Southgate",48195,42.211824,-83.227317
"47 N Huron St","Ypsilanti",48197,42.241849,-83.613389
"6633 Stony Creek Rd","Ypsilanti",48197,42.19037,-83.633185
"203 Boone Hall","Ypsilanti",48197,42.200856,-83.658201
"61 N Huron St","Ypsilanti",48197,42.242022,-83.613418
"1600 N Huron River Dr.","Ypsilanti",48197,42.257757,-83.640098
"6061 Textile Rd","Ypsilanti",48197,42.202319,-83.638537
"200 Arnet St Ste 150","Ypsilanti",48198,42.237605,-83.600103
"555 Towner St","Ypsilanti",48198,42.240057,-83.600616
"33 E Forest Ave.","Detroit",48201,42.355311,-83.062506
"1240 3rd Street","Detroit",48201,42.330096,-83.055936
"79 W Alexandrine St","Detroit",48201,42.349844,-83.061196
"2727 2nd Ave","Detroit",48201,42.340035,-83.061667
"10 Peterboro St","Detroit",48201,42.345544,-83.057013
"445 Ledyard St","Detroit",48201,42.339784,-83.058398
"3901 Chrysler Service Dr","Detroit",48201,42.352471,-83.051537
"2995 E Grand Blvd","Detroit",48202,42.37122,-83.069126
"8642 Woodward Ave","Detroit",48202,42.379543,-83.079208
"1 Ford Place","Detroit",48202,42.363581,-83.074896
"7310 Woodward","Detroit",48202,42.37085,-83.07287
"3011 W Grand Blvd","Detroit",48202,42.369585,-83.077343
"8600 Woodward Ave.","Detroit",48202,42.379165,-83.078823
"3031 W Grand Blvd","Detroit",48202,42.370182,-83.076279
"3031 W Grand Blvd","Detroit",48202,42.370182,-83.076279
"62 W 7 Mile Rd","Detroit",48203,42.432586,-83.103683
"55 W 7 Mile Rd","Detroit",48203,42.431967,-83.103427
"400 Cortland St","Highland Park",48203,42.392356,-83.103324
"1121 E McNichols Rd","Detroit",48203,42.418433,-83.091812
"211 Glendale St","Highland Park",48203,42.396767,-83.099382
"97 California","Highland Park",48203,42.396767,-83.086913
"245 Pitkin St","Highland Park",48203,42.407366,-83.108642
"300 W McNichols Rd","Detroit",48203,42.417997,-83.107312
"12501 Hamilton Ave","Highland Park",48203,42.394386,-83.100941
"77 Victor St","Highland Park",48203,42.407395,-83.095607
"12840 Hamilton Ave., Suite #2","Highland Park",48203,42.396621,-83.10206
"182 Farrand Park","Highland Park",48203,42.402122,-83.087014
"12048 Grand River Ave","Detroit",48204,42.376877,-83.158438
"9605 Grand River Ave","Detroit",48204,42.367275,-83.135996
"13560 E McNichols Rd","Detroit",48205,42.426528,-82.984525
"11542 Conner St","Detroit",48205,42.409607,-83.003038
"7532 Dexter Ave","Detroit",48206,42.35951,-83.110009
"12007 Linwood","Detroit",48206,42.384561,-83.116641
"2635 Calvert St","Detroit",48206,42.379154,-83.113331
"1550 Taylor, Suite 301","Detroit",48206,42.376936,-83.095938
"9600 Dexter Ave.","Detroit",48206,42.373095,-83.119201
"3360 Charlevoix","Detroit",48207,42.355007,-83.02341
"3426 Mack Ave.","Detroit",48207,42.359713,-83.02518
"694 E Grand Blvd","Detroit",48207,42.362299,-83.011229
"700 E Grand Blvd","Detroit",48207,42.362408,-83.011327
"751 E Grand Blvd","Detroit",48207,42.363237,-83.013104
"2925 Russell St","Detroit",48207,42.348139,-83.042069
"3646 Mt. Elliott St.","Detroit",48207,42.362149,-83.021849
"300 River Place Dr","Detroit",48207,42.336458,-83.017745
"903 W Grand Blvd","Detroit",48208,42.332978,-83.097576
"1145 W Grand Blvd","Detroit",48208,42.334997,-83.101492
"1165 W Grand Blvd","Detroit",48208,42.335634,-83.101768
"4626 Grand River Ave","Detroit",48208,42.347368,-83.08301
"2441 W Grand Blvd","Detroit",48208,42.362323,-83.095827
"2617 W. Grand Blvd.","Detroit",48208,42.364505,-83.089741
"1145 W. Grand Blvd.","Detroit",48208,42.334997,-83.101492
"1145 W Grand Blvd","Detroit",48208,42.334997,-83.101492
"1852 W Grand Blvd","Detroit",48208,42.35363,-83.109797
"2081 W Grand Blvd","Detroit",48208,42.357862,-83.107554
"3737 Humboldt St","Detroit",48208,42.339163,-83.088697
"3737 Lawton St","Detroit",48208,42.338181,-83.090004
"1145 Lawndale St","Detroit",48209,42.301241,-83.12725
"1700 Waterman St","Detroit",48209,42.312303,-83.113477
"4880 Lawndale St","Detroit",48210,42.328335,-83.14701
"6821 Medbury","Detroit",48211,42.38032,-83.027167
"6821 Medbury St","Detroit",48211,42.380381,-83.027118
"13611 Dequindre St","Detroit",48212,42.412182,-83.079535
"11633 Joseph Campau St","Hamtramck",48212,42.402347,-83.061799
"4321 E McNichols Rd","Detroit",48212,42.418967,-83.059621
"11633 Joseph Campau","Hamtramck",48212,42.402412,-83.062088
"4821 E McNichols Rd","Detroit",48212,42.418995,-83.054387
"2400 E McNichols Rd","Detroit",48212,42.418286,-83.078442
"7701 Harper Ave","Detroit",48213,42.387816,-83.022639
"5555 Conner St","Detroit",48213,42.390274,-82.982155
"8333 Townsend St","Detroit",48213,42.389291,-83.024411
"5575 Conner St Ste 210","Detroit",48213,42.391469,-82.982339
"13929 Harper Ave","Detroit",48213,42.403638,-82.968922
"7220 Gratiot Ave","Detroit",48213,42.373043,-83.018371
"1423 Field St","Detroit",48214,42.353051,-83.004143
"8311 E Jefferson Ave","Detroit",48214,42.353452,-82.992491
"3746 Fischer St","Detroit",48214,42.370087,-82.999362
"11105 E Jefferson Ave","Detroit",48214,42.366429,-82.972971
"2900 Conner St Bldg B","Detroit",48215,42.378381,-82.963764
"12800 E Warren Ave","Detroit",48215,42.391621,-82.968606
"4146 Lakewood St","Detroit",48215,42.388765,-82.955579
"13336 E Warren","Detroit",48215,42.393533,-82.963272
"4875 Coplin St","Detroit",48215,42.392709,-82.963872
"3815 West Fort Street, Ste. 104","Detroit",48216,42.314514,-83.083765
"22000 Grand River Ave","Detroit",48219,42.416931,-83.257847
"19750 Burt Rd.","Detroit",48219,42.436067,-83.24818
"24424 W McNichols Rd","Detroit",48219,42.414693,-83.281424
"17321 Telegraph Rd","Detroit",48219,42.417249,-83.2778
"22390 W 7 Mile Rd","Detroit",48219,42.429469,-83.263375
"17667 Pierson St","Detroit",48219,42.421356,-83.247312
"290 W 9 Mile Rd","Ferndale",48220,42.46081,-83.138123
"22720 Woodward Ave","Ferndale",48220,42.460062,-83.133527
"231 LaPrairie St.","Ferndale",48220,42.447496,-83.136074
"881 Pinecrest Dr","Ferndale",48220,42.453986,-83.147729
"10301 W 7 Mile Rd","Detroit",48221,42.430547,-83.163495
"4100 W McNichols Rd","Detroit",48221,42.417352,-83.140023
"16647 Wyoming St","Detroit",48221,42.414302,-83.160531
"16107 E Warren Ave","Detroit",48224,42.401958,-82.941747
"20303 Kelly Rd","Detroit",48225,42.447774,-82.943765
"21543 Newcastle Rd","Harper Woods",48225,42.425216,-82.918658
"660 Woodward Ave","Detroit",48226,42.330921,-83.04528
"1300 W Fort St","Detroit",48226,42.325829,-83.059553
"601 Washington Blvd","Detroit",48226,42.328903,-83.04971
"15763 Rutherford St","Detroit",48227,42.4061,-83.204554
"13575 Lesure St","Detroit",48227,42.386393,-83.180347
"8097 Decatur St","Detroit",48228,42.351911,-83.181097
"1910/1912 East Grand Blvd.","Detroit",48228,42.354372,-83.109993
"15560 Joy Rd","Detroit",48228,42.359613,-83.1979
"14350 Tireman Ave","Detroit",48228,42.351923,-83.183929
"27652 W. Outer Dr.","Ecorse",48229,42.247807,-83.144232
"15222 E Jefferson Ave","Grosse Pointe",48230,42.376074,-82.936112
"17894 Mack Ave.","Grosse Pointe",48230,42.403505,-82.916635
"19940 Conant St","Detroit",48234,42.441176,-83.079304
"19211 Anglin St","Detroit",48234,42.434857,-83.076034
"1475 E Outer Dr","Detroit",48234,42.440398,-83.081345
"18284 James Couzens","Detroit",48235,42.424883,-83.179509
"18260 Appoline St","Detroit",48235,42.424906,-83.171313
"16527 Cruse St","Detroit",48235,42.412102,-83.184121
"20255 Ward St","Detroit",48235,42.442803,-83.175738
"22151 Moross Rd","Detroit",48236,42.419203,-82.913646
"25900 Greenfield Rd","Oak Park",48237,42.480295,-83.200348
"21700 Greenfield Rd","Oak Park",48237,42.453053,-83.199809
"1660 Oakman Blvd","Detroit",48238,42.397841,-83.126388
"1670 Oakman Blvd","Detroit",48238,42.397705,-83.126458
"15827 Indiana St","Detroit",48238,42.408365,-83.158004
"15941 Fairfield St","Detroit",48238,42.40979,-83.134911
"15941 Fairfiled St.","Detroit",48238,42.40979,-83.134911
"882 Oakman Blvd., Ste B","Detroit",48238,42.402926,-83.114037
"9315 Telegraph Rd","Redford",48239,42.362293,-83.275702
"25521 5 Mile Rd","Redford",48239,42.399397,-83.294001
"24350 Joy Rd. Suite 8","Redford",48239,42.356801,-83.277956
"1525 Covington Rd","Bloomfield Hills",48301,42.558489,-83.24655
"6969 Meadowlake Rd","Bloomfield Hills",48301,42.537798,-83.313643
"2520 S. Telegraph Rd.","Bloomfield Hills",48302,42.602046,-83.290246
"2550 S Telegraph Rd","Bloomfield Hills",48302,42.601585,-83.290391
"3950 S Rochester Rd Ste 2250","Rochester Hills",48307,42.623614,-83.13162
"1000 W University Dr","Rochester",48307,42.682666,-83.146124
"1460 Walton Blvd","Rochester Hills",48309,42.682265,-83.159871
"1460 Walton Blvd","Rochester Hills",48309,42.682265,-83.159871
"408 Meadow Brook Rd","Rochester",48309,42.676772,-83.217982
"4301 E 14 Mile Rd","Sterling Heights",48310,42.535697,-83.065988
"34628 Dequindre Road","Sterling Heights",48310,42.546883,-83.087209
"37490 Dequindre","Sterling Heights",48310,42.567427,-83.088166
"37490 Dequindre Rd","Sterling Heights",48310,42.567427,-83.088166
"34208 Van Dyke Ave.","Sterling Heights",48312,42.546256,-83.027168
"13213 E 14 Mile Rd","Sterling Heights",48312,42.537892,-82.993477
"44250 Dequindre Rd","Sterling Heights",48314,42.617047,-83.090965
"51221 Schoenherr Rd Ste 107","Shelby Township",48315,42.671972,-82.995865
"51424 Van Dyke Ave Ste 23","Utica",48316,42.672389,-83.033363
"52188 Van Dyke Ave","Utica",48316,42.678644,-83.033393
"8344 Hall Road, Suie 209","Utica",48317,42.62493,-83.028467
"11111 Hall Rd Ste 303","Utica",48317,42.626592,-83.020758
"6773 W Maple Rd","West Bloomfield",48322,42.53537,-83.408051
"6555 W Maple Rd","West Bloomfield",48322,42.541172,-83.404607
"7125 Orchard Lake Rd Ste 110","West Bloomfield",48322,42.532834,-83.358963
"4245 Normanwood","West Bloomfield",48323,42.578147,-83.357915
"7601 Walnut Lake Rd","West Bloomfield",48323,42.553635,-83.431855
"2399 E Walton Blvd","Auburn Hills",48326,42.679376,-83.242443
"2251 N Squirrel Rd Ste 330","Auburn Hills",48326,42.676007,-83.222178
"1255 N Oakland Blvd","Waterford",48327,42.655043,-83.433794
"1435 N Oakland Blvd","Waterford",48327,42.658772,-83.432654
"279 Summit Dr","Waterford",48328,42.648089,-83.332312
"3720 Elizabeth Lk Rd","Waterford",48328,42.639935,-83.358937
"269 Summit Drive","Waterford",48328,42.648131,-83.332304
"1150 Scott Lake Rd","Waterford",48328,42.656888,-83.345493
"32969 Hamilton Ct Ste 100","Farmington Hills",48334,42.497385,-83.374225
"32961 Middlebelt Rd","Farmington Hills",48334,42.527463,-83.341288
"23800 Orchard Lake Rd. Suite100","Farmington",48336,42.467492,-83.356168
"1841 N Perry St","Pontiac",48340,42.675395,-83.253322
"1685 Baldwin Ave","Pontiac",48340,42.68168,-83.302545
"1685 Baldwin Ave","Pontiac",48340,42.68168,-83.302545
"76 Williams St","Pontiac",48341,42.635537,-83.299379
"1200 N Telegraph Rd Dept 256 Bldg 32E","Pontiac",48341,42.654035,-83.321119
"1200 N Telegraph Rd Bld 32E Ste 246","Pontiac",48341,42.654035,-83.321119
